,Experience Level,Country or Area,Education level,Qualification level,Statutory salary,Measure,Unit of measure,Statutory time,Actual Salary per Hour
1690,10 years of Experience,Lithuania,Lower secondary general education,Most prevalent qualification at this stage of career,34102.133,Total statutory working time,Hours per year,1512.0,22.55432076719577
1691,10 years of Experience,Lithuania,Lower secondary general education,Most prevalent qualification at this stage of career,34102.133,Statutory working time required at school,Hours per year,1512.0,22.55432076719577
1692,15 years of Experience,Lithuania,Lower secondary general education,Maximum qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,854.4,44.41297986891386
1693,15 years of Experience,Lithuania,Lower secondary general education,Maximum qualification at this stage of career,37946.45,Total statutory working time,Hours per year,1512.0,25.096858465608463
1694,15 years of Experience,Lithuania,Lower secondary general education,Maximum qualification at this stage of career,37946.45,Statutory working time required at school,Hours per year,1512.0,25.096858465608463
1695,15 years of Experience,Lithuania,Lower secondary general education,Minimum qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,854.4,44.41297986891386
1696,15 years of Experience,Lithuania,Lower secondary general education,Minimum qualification at this stage of career,37946.45,Total statutory working time,Hours per year,1512.0,25.096858465608463
1697,15 years of Experience,Lithuania,Lower secondary general education,Minimum qualification at this stage of career,37946.45,Statutory working time required at school,Hours per year,1512.0,25.096858465608463
1698,15 years of Experience,Lithuania,Lower secondary general education,Most prevalent qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,854.4,44.41297986891386
1699,15 years of Experience,Lithuania,Lower secondary general education,Most prevalent qualification at this stage of career,37946.45,Total statutory working time,Hours per year,1512.0,25.096858465608463
1700,15 years of Experience,Lithuania,Lower secondary general education,Most prevalent qualification at this stage of career,37946.45,Statutory working time required at school,Hours per year,1512.0,25.096858465608463
1701,Maximum Experience,Lithuania,Lower secondary general education,Maximum qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,854.4,50.55626638576779
1702,Maximum Experience,Lithuania,Lower secondary general education,Maximum qualification at this stage of career,43195.274,Total statutory working time,Hours per year,1512.0,28.568302910052907
1703,Maximum Experience,Lithuania,Lower secondary general education,Maximum qualification at this stage of career,43195.274,Statutory working time required at school,Hours per year,1512.0,28.568302910052907
1704,Maximum Experience,Lithuania,Lower secondary general education,Minimum qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,854.4,50.55626638576779
1705,Maximum Experience,Lithuania,Lower secondary general education,Minimum qualification at this stage of career,43195.274,Total statutory working time,Hours per year,1512.0,28.568302910052907
1706,Maximum Experience,Lithuania,Lower secondary general education,Minimum qualification at this stage of career,43195.274,Statutory working time required at school,Hours per year,1512.0,28.568302910052907
1707,Maximum Experience,Lithuania,Lower secondary general education,Most prevalent qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,854.4,50.55626638576779
1708,Maximum Experience,Lithuania,Lower secondary general education,Most prevalent qualification at this stage of career,43195.274,Total statutory working time,Hours per year,1512.0,28.568302910052907
1709,Maximum Experience,Lithuania,Lower secondary general education,Most prevalent qualification at this stage of career,43195.274,Statutory working time required at school,Hours per year,1512.0,28.568302910052907
1710,No Experience,Lithuania,Pre-primary education,Maximum qualification at this stage of career,33026.866,Statutory teaching time,Hours per year,640.0,51.604478125
1711,No Experience,Lithuania,Pre-primary education,Minimum qualification at this stage of career,33026.866,Statutory teaching time,Hours per year,640.0,51.604478125
1712,No Experience,Lithuania,Pre-primary education,Most prevalent qualification at this stage of career,33026.866,Statutory teaching time,Hours per year,640.0,51.604478125
1713,10 years of Experience,Lithuania,Pre-primary education,Maximum qualification at this stage of career,34102.133,Statutory teaching time,Hours per year,640.0,53.284582812500005
1714,10 years of Experience,Lithuania,Pre-primary education,Minimum qualification at this stage of career,34102.133,Statutory teaching time,Hours per year,640.0,53.284582812500005
1715,10 years of Experience,Lithuania,Pre-primary education,Most prevalent qualification at this stage of career,34102.133,Statutory teaching time,Hours per year,640.0,53.284582812500005
1716,15 years of Experience,Lithuania,Pre-primary education,Maximum qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,640.0,59.29132812499999
1717,15 years of Experience,Lithuania,Pre-primary education,Minimum qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,640.0,59.29132812499999
1718,15 years of Experience,Lithuania,Pre-primary education,Most prevalent qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,640.0,59.29132812499999
1719,Maximum Experience,Lithuania,Pre-primary education,Maximum qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,640.0,67.492615625
1720,Maximum Experience,Lithuania,Pre-primary education,Minimum qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,640.0,67.492615625
1721,Maximum Experience,Lithuania,Pre-primary education,Most prevalent qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,640.0,67.492615625
1722,No Experience,Lithuania,Primary education,Maximum qualification at this stage of career,33026.866,Statutory teaching time,Hours per year,830.4,39.772237475915226
1723,No Experience,Lithuania,Primary education,Maximum qualification at this stage of career,33026.866,Total statutory working time,Hours per year,1512.0,21.843165343915345
1724,No Experience,Lithuania,Primary education,Maximum qualification at this stage of career,33026.866,Statutory working time required at school,Hours per year,1512.0,21.843165343915345
1725,No Experience,Lithuania,Primary education,Minimum qualification at this stage of career,33026.866,Statutory teaching time,Hours per year,830.4,39.772237475915226
1726,No Experience,Lithuania,Primary education,Minimum qualification at this stage of career,33026.866,Total statutory working time,Hours per year,1512.0,21.843165343915345
1727,No Experience,Lithuania,Primary education,Minimum qualification at this stage of career,33026.866,Statutory working time required at school,Hours per year,1512.0,21.843165343915345
1728,No Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,33026.866,Statutory teaching time,Hours per year,830.4,39.772237475915226
1729,No Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,33026.866,Total statutory working time,Hours per year,1512.0,21.843165343915345
1730,No Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,33026.866,Statutory working time required at school,Hours per year,1512.0,21.843165343915345
1731,10 years of Experience,Lithuania,Primary education,Maximum qualification at this stage of career,34102.133,Statutory teaching time,Hours per year,830.4,41.0671158477842
1732,10 years of Experience,Lithuania,Primary education,Maximum qualification at this stage of career,34102.133,Total statutory working time,Hours per year,1512.0,22.55432076719577
1733,10 years of Experience,Lithuania,Primary education,Maximum qualification at this stage of career,34102.133,Statutory working time required at school,Hours per year,1512.0,22.55432076719577
1734,10 years of Experience,Lithuania,Primary education,Minimum qualification at this stage of career,34102.133,Statutory teaching time,Hours per year,830.4,41.0671158477842
1735,10 years of Experience,Lithuania,Primary education,Minimum qualification at this stage of career,34102.133,Total statutory working time,Hours per year,1512.0,22.55432076719577
1736,10 years of Experience,Lithuania,Primary education,Minimum qualification at this stage of career,34102.133,Statutory working time required at school,Hours per year,1512.0,22.55432076719577
1737,10 years of Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,34102.133,Statutory teaching time,Hours per year,830.4,41.0671158477842
1738,10 years of Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,34102.133,Total statutory working time,Hours per year,1512.0,22.55432076719577
1739,10 years of Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,34102.133,Statutory working time required at school,Hours per year,1512.0,22.55432076719577
1740,15 years of Experience,Lithuania,Primary education,Maximum qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,830.4,45.69659200385356
1741,15 years of Experience,Lithuania,Primary education,Maximum qualification at this stage of career,37946.45,Total statutory working time,Hours per year,1512.0,25.096858465608463
1742,15 years of Experience,Lithuania,Primary education,Maximum qualification at this stage of career,37946.45,Statutory working time required at school,Hours per year,1512.0,25.096858465608463
1743,15 years of Experience,Lithuania,Primary education,Minimum qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,830.4,45.69659200385356
1744,15 years of Experience,Lithuania,Primary education,Minimum qualification at this stage of career,37946.45,Total statutory working time,Hours per year,1512.0,25.096858465608463
1745,15 years of Experience,Lithuania,Primary education,Minimum qualification at this stage of career,37946.45,Statutory working time required at school,Hours per year,1512.0,25.096858465608463
1746,15 years of Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,830.4,45.69659200385356
1747,15 years of Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,37946.45,Total statutory working time,Hours per year,1512.0,25.096858465608463
1748,15 years of Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,37946.45,Statutory working time required at school,Hours per year,1512.0,25.096858465608463
1749,Maximum Experience,Lithuania,Primary education,Maximum qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,830.4,52.01743015414258
1750,Maximum Experience,Lithuania,Primary education,Maximum qualification at this stage of career,43195.274,Total statutory working time,Hours per year,1512.0,28.568302910052907
1751,Maximum Experience,Lithuania,Primary education,Maximum qualification at this stage of career,43195.274,Statutory working time required at school,Hours per year,1512.0,28.568302910052907
1752,Maximum Experience,Lithuania,Primary education,Minimum qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,830.4,52.01743015414258
1753,Maximum Experience,Lithuania,Primary education,Minimum qualification at this stage of career,43195.274,Total statutory working time,Hours per year,1512.0,28.568302910052907
1754,Maximum Experience,Lithuania,Primary education,Minimum qualification at this stage of career,43195.274,Statutory working time required at school,Hours per year,1512.0,28.568302910052907
1755,Maximum Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,830.4,52.01743015414258
1756,Maximum Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,43195.274,Total statutory working time,Hours per year,1512.0,28.568302910052907
1757,Maximum Experience,Lithuania,Primary education,Most prevalent qualification at this stage of career,43195.274,Statutory working time required at school,Hours per year,1512.0,28.568302910052907
1758,No Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,33026.866,Statutory teaching time,Hours per year,854.4,38.65503979400749
1759,No Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,33026.866,Total statutory working time,Hours per year,1512.0,21.843165343915345
1760,No Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,33026.866,Statutory working time required at school,Hours per year,1512.0,21.843165343915345
1761,No Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,33026.866,Statutory teaching time,Hours per year,854.4,38.65503979400749
1762,No Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,33026.866,Total statutory working time,Hours per year,1512.0,21.843165343915345
1763,No Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,33026.866,Statutory working time required at school,Hours per year,1512.0,21.843165343915345
1764,No Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,33026.866,Statutory teaching time,Hours per year,854.4,38.65503979400749
1765,No Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,33026.866,Total statutory working time,Hours per year,1512.0,21.843165343915345
1766,No Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,33026.866,Statutory working time required at school,Hours per year,1512.0,21.843165343915345
1767,10 years of Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,34102.133,Statutory teaching time,Hours per year,854.4,39.91354517790263
1768,10 years of Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,34102.133,Total statutory working time,Hours per year,1512.0,22.55432076719577
1769,10 years of Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,34102.133,Statutory working time required at school,Hours per year,1512.0,22.55432076719577
1770,10 years of Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,34102.133,Statutory teaching time,Hours per year,854.4,39.91354517790263
1771,10 years of Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,34102.133,Total statutory working time,Hours per year,1512.0,22.55432076719577
1772,10 years of Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,34102.133,Statutory working time required at school,Hours per year,1512.0,22.55432076719577
1773,10 years of Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,34102.133,Statutory teaching time,Hours per year,854.4,39.91354517790263
1774,10 years of Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,34102.133,Total statutory working time,Hours per year,1512.0,22.55432076719577
1775,10 years of Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,34102.133,Statutory working time required at school,Hours per year,1512.0,22.55432076719577
1776,15 years of Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,854.4,44.41297986891386
1777,15 years of Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,37946.45,Total statutory working time,Hours per year,1512.0,25.096858465608463
1778,15 years of Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,37946.45,Statutory working time required at school,Hours per year,1512.0,25.096858465608463
1779,15 years of Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,854.4,44.41297986891386
1780,15 years of Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,37946.45,Total statutory working time,Hours per year,1512.0,25.096858465608463
1781,15 years of Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,37946.45,Statutory working time required at school,Hours per year,1512.0,25.096858465608463
1782,15 years of Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,37946.45,Statutory teaching time,Hours per year,854.4,44.41297986891386
1783,15 years of Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,37946.45,Total statutory working time,Hours per year,1512.0,25.096858465608463
1784,15 years of Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,37946.45,Statutory working time required at school,Hours per year,1512.0,25.096858465608463
1785,Maximum Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,854.4,50.55626638576779
1786,Maximum Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,43195.274,Total statutory working time,Hours per year,1512.0,28.568302910052907
1787,Maximum Experience,Lithuania,Upper secondary general education,Maximum qualification at this stage of career,43195.274,Statutory working time required at school,Hours per year,1512.0,28.568302910052907
1788,Maximum Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,854.4,50.55626638576779
1789,Maximum Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,43195.274,Total statutory working time,Hours per year,1512.0,28.568302910052907
1790,Maximum Experience,Lithuania,Upper secondary general education,Minimum qualification at this stage of career,43195.274,Statutory working time required at school,Hours per year,1512.0,28.568302910052907
1791,Maximum Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,43195.274,Statutory teaching time,Hours per year,854.4,50.55626638576779
1792,Maximum Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,43195.274,Total statutory working time,Hours per year,1512.0,28.568302910052907
1793,Maximum Experience,Lithuania,Upper secondary general education,Most prevalent qualification at this stage of career,43195.274,Statutory working time required at school,Hours per year,1512.0,28.568302910052907
1794,No Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,81199.641,Statutory teaching time,Hours per year,739.2,109.84799918831169
1795,No Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,81199.641,Total statutory working time,Hours per year,1228.8,66.08043701171876
1796,No Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,81199.641,Statutory working time required at school,Hours per year,859.2,94.5060998603352
1797,No Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,81199.641,Statutory teaching time,Hours per year,739.2,109.84799918831169
1798,No Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,81199.641,Total statutory working time,Hours per year,1228.8,66.08043701171876
1799,No Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,81199.641,Statutory working time required at school,Hours per year,859.2,94.5060998603352
1800,No Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,81199.641,Statutory teaching time,Hours per year,739.2,109.84799918831169
1801,No Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,81199.641,Total statutory working time,Hours per year,1228.8,66.08043701171876
1802,No Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,81199.641,Statutory working time required at school,Hours per year,859.2,94.5060998603352
1803,10 years of Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,101499.55,Statutory teaching time,Hours per year,739.2,137.3099972943723
1804,10 years of Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,101499.55,Total statutory working time,Hours per year,1228.8,82.60054524739584
1805,10 years of Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,101499.55,Statutory working time required at school,Hours per year,859.2,118.13262337057728
1806,10 years of Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,101499.55,Statutory teaching time,Hours per year,739.2,137.3099972943723
1807,10 years of Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,101499.55,Total statutory working time,Hours per year,1228.8,82.60054524739584
1808,10 years of Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,101499.55,Statutory working time required at school,Hours per year,859.2,118.13262337057728
1809,10 years of Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,101499.55,Statutory teaching time,Hours per year,739.2,137.3099972943723
1810,10 years of Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,101499.55,Total statutory working time,Hours per year,1228.8,82.60054524739584
1811,10 years of Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,101499.55,Statutory working time required at school,Hours per year,859.2,118.13262337057728
1812,15 years of Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,112007.74,Statutory teaching time,Hours per year,739.2,151.52562229437228
1813,15 years of Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,112007.74,Total statutory working time,Hours per year,1228.8,91.15213216145834
1814,15 years of Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,112007.74,Statutory working time required at school,Hours per year,859.2,130.36282588454375
1815,15 years of Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,112007.74,Statutory teaching time,Hours per year,739.2,151.52562229437228
1816,15 years of Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,112007.74,Total statutory working time,Hours per year,1228.8,91.15213216145834
1817,15 years of Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,112007.74,Statutory working time required at school,Hours per year,859.2,130.36282588454375
1818,15 years of Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,112007.74,Statutory teaching time,Hours per year,739.2,151.52562229437228
1819,15 years of Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,112007.74,Total statutory working time,Hours per year,1228.8,91.15213216145834
1820,15 years of Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,112007.74,Statutory working time required at school,Hours per year,859.2,130.36282588454375
1821,Maximum Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,141144.09,Statutory teaching time,Hours per year,739.2,190.94168019480517
1822,Maximum Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,141144.09,Total statutory working time,Hours per year,1228.8,114.8633544921875
1823,Maximum Experience,Luxembourg,Lower secondary general education,Maximum qualification at this stage of career,141144.09,Statutory working time required at school,Hours per year,859.2,164.27384776536312
1824,Maximum Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,141144.09,Statutory teaching time,Hours per year,739.2,190.94168019480517
1825,Maximum Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,141144.09,Total statutory working time,Hours per year,1228.8,114.8633544921875
1826,Maximum Experience,Luxembourg,Lower secondary general education,Minimum qualification at this stage of career,141144.09,Statutory working time required at school,Hours per year,859.2,164.27384776536312
1827,Maximum Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,141144.09,Statutory teaching time,Hours per year,739.2,190.94168019480517
1828,Maximum Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,141144.09,Total statutory working time,Hours per year,1228.8,114.8633544921875
1829,Maximum Experience,Luxembourg,Lower secondary general education,Most prevalent qualification at this stage of career,141144.09,Statutory working time required at school,Hours per year,859.2,164.27384776536312
1830,No Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,71646.741,Statutory teaching time,Hours per year,880.0,81.41675113636363
1831,No Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,71646.741,Total statutory working time,Hours per year,1500.0,47.764494
1832,No Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,71646.741,Statutory working time required at school,Hours per year,1060.0,67.59126509433962
1833,No Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,71646.741,Statutory teaching time,Hours per year,880.0,81.41675113636363
1834,No Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,71646.741,Total statutory working time,Hours per year,1500.0,47.764494
1835,No Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,71646.741,Statutory working time required at school,Hours per year,1060.0,67.59126509433962
1836,No Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,71646.741,Statutory teaching time,Hours per year,880.0,81.41675113636363
1837,No Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,71646.741,Total statutory working time,Hours per year,1500.0,47.764494
1838,No Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,71646.741,Statutory working time required at school,Hours per year,1060.0,67.59126509433962
1839,10 years of Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,92663.121,Statutory teaching time,Hours per year,880.0,105.29900113636363
1840,10 years of Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,92663.121,Total statutory working time,Hours per year,1500.0,61.775414
1841,10 years of Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,92663.121,Statutory working time required at school,Hours per year,1060.0,87.41803867924529
1842,10 years of Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,92663.121,Statutory teaching time,Hours per year,880.0,105.29900113636363
1843,10 years of Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,92663.121,Total statutory working time,Hours per year,1500.0,61.775414
1844,10 years of Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,92663.121,Statutory working time required at school,Hours per year,1060.0,87.41803867924529
1845,10 years of Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,92663.121,Statutory teaching time,Hours per year,880.0,105.29900113636363
1846,10 years of Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,92663.121,Total statutory working time,Hours per year,1500.0,61.775414
1847,10 years of Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,92663.121,Statutory working time required at school,Hours per year,1060.0,87.41803867924529
1848,15 years of Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,104604.25,Statutory teaching time,Hours per year,880.0,118.86846590909092
1849,15 years of Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,104604.25,Total statutory working time,Hours per year,1500.0,69.73616666666666
1850,15 years of Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,104604.25,Statutory working time required at school,Hours per year,1060.0,98.68325471698114
1851,15 years of Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,104604.25,Statutory teaching time,Hours per year,880.0,118.86846590909092
1852,15 years of Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,104604.25,Total statutory working time,Hours per year,1500.0,69.73616666666666
1853,15 years of Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,104604.25,Statutory working time required at school,Hours per year,1060.0,98.68325471698114
1854,15 years of Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,104604.25,Statutory teaching time,Hours per year,880.0,118.86846590909092
1855,15 years of Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,104604.25,Total statutory working time,Hours per year,1500.0,69.73616666666666
1856,15 years of Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,104604.25,Statutory working time required at school,Hours per year,1060.0,98.68325471698114
1857,Maximum Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,126575.92,Statutory teaching time,Hours per year,880.0,143.83627272727273
1858,Maximum Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,126575.92,Total statutory working time,Hours per year,1500.0,84.38394666666666
1859,Maximum Experience,Luxembourg,Pre-primary education,Maximum qualification at this stage of career,126575.92,Statutory working time required at school,Hours per year,1060.0,119.41124528301887
1860,Maximum Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,126575.92,Statutory teaching time,Hours per year,880.0,143.83627272727273
1861,Maximum Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,126575.92,Total statutory working time,Hours per year,1500.0,84.38394666666666
1862,Maximum Experience,Luxembourg,Pre-primary education,Minimum qualification at this stage of career,126575.92,Statutory working time required at school,Hours per year,1060.0,119.41124528301887
1863,Maximum Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,126575.92,Statutory teaching time,Hours per year,880.0,143.83627272727273
1864,Maximum Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,126575.92,Total statutory working time,Hours per year,1500.0,84.38394666666666
1865,Maximum Experience,Luxembourg,Pre-primary education,Most prevalent qualification at this stage of career,126575.92,Statutory working time required at school,Hours per year,1060.0,119.41124528301887
1866,No Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,71646.741,Statutory teaching time,Hours per year,809.6,88.4964686264822
1867,No Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,71646.741,Total statutory working time,Hours per year,1394.4,51.38177065404474
1868,No Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,71646.741,Statutory working time required at school,Hours per year,989.6,72.39969785772028
1869,No Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,71646.741,Statutory teaching time,Hours per year,809.6,88.4964686264822
1870,No Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,71646.741,Total statutory working time,Hours per year,1394.4,51.38177065404474
1871,No Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,71646.741,Statutory working time required at school,Hours per year,989.6,72.39969785772028
1872,No Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,71646.741,Statutory teaching time,Hours per year,809.6,88.4964686264822
1873,No Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,71646.741,Total statutory working time,Hours per year,1394.4,51.38177065404474
1874,No Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,71646.741,Statutory working time required at school,Hours per year,989.6,72.39969785772028
1875,10 years of Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,92663.121,Statutory teaching time,Hours per year,809.6,114.45543601778655
1876,10 years of Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,92663.121,Total statutory working time,Hours per year,1394.4,66.45375860585197
1877,10 years of Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,92663.121,Statutory working time required at school,Hours per year,989.6,93.63694523039612
1878,10 years of Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,92663.121,Statutory teaching time,Hours per year,809.6,114.45543601778655
1879,10 years of Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,92663.121,Total statutory working time,Hours per year,1394.4,66.45375860585197
1880,10 years of Experience,Luxembourg,Primary education,Minimum qualification at this stage of career,92663.121,Statutory working time required at school,Hours per year,989.6,93.63694523039612
1881,10 years of Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,92663.121,Statutory teaching time,Hours per year,809.6,114.45543601778655
1882,10 years of Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,92663.121,Total statutory working time,Hours per year,1394.4,66.45375860585197
1883,10 years of Experience,Luxembourg,Primary education,Most prevalent qualification at this stage of career,92663.121,Statutory working time required at school,Hours per year,989.6,93.63694523039612
1884,15 years of Experience,Luxembourg,Primary education,Maximum qualification at this stage of career,104604.25,Statutory teaching time,Hours per year,809.6,129.20485424901185
